This is Ipopt version 3.13.2, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:   528190
Number of nonzeros in inequality constraint Jacobian.:   737044
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8004
                     variables with only lower bounds:      800
                variables with lower and upper bounds:     1200
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5594
Total number of inequality constraints...............:     9600
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:     4800
        inequality constraints with only upper bounds:     4800

  46  1.1969188e+02 3.91e-02 4.19e-02  -4.5 8.53e-01    -  6.11e-01 3.94e-01h  1
  47  1.1965065e+02 1.79e-02 6.04e-02  -4.5 2.90e-01    -  7.35e-01 5.86e-01h  1
  48  1.1962889e+02 6.43e-03 1.77e-02  -4.5 1.38e-01    -  9.59e-01 1.00e+00h  1
  49  1.1963044e+02 2.39e-03 1.10e-02  -4.5 8.43e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.1962859e+02 8.42e-04 1.46e-02  -4.5 1.20e-01    -  1.00e+00 1.00e+00h  1
  51  1.1962459e+02 1.31e-03 1.46e-02  -4.5 2.26e-01    -  1.00e+00 1.00e+00h  1
  52  1.1961975e+02 5.83e-03 4.23e-02  -4.5 3.35e-01    -  1.00e+00 1.00e+00h  1
  53  1.1961837e+02 5.58e-03 2.62e-02  -4.5 1.06e-01    -  1.00e+00 1.00e+00h  1
  54  1.1962178e+02 1.41e-03 1.18e-02  -4.5 5.18e-02    -  1.00e+00 1.00e+00h  1
  55  1.1962312e+02 4.51e-05 1.83e-03  -4.5 3.12e-02    -  1.00e+00 1.00e+00h  1
  56  1.1962316e+02 1.58e-07 1.26e-03  -4.5 2.75e-02    -  1.00e+00 1.00e+00H  1
  57  1.1962353e+02 1.59e-07 2.61e-02  -4.5 2.13e-01    -  1.00e+00 1.00e+00H  1
  58  1.1961950e+02 1.79e-03 9.00e-03  -4.5 7.16e-02    -  1.00e+00 1.00e+00h  1
  59  1.1962121e+02 6.56e-04 5.06e-03  -4.5 3.96e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.1962167e+02 3.54e-05 3.71e-03  -4.5 1.65e-02    -  1.00e+00 1.00e+00h  1
