s,V,gamma,n,t,c_fl,c_fr,c_rl,c_rr,powerFL,powerFR,powerRL,powerRR,delta
3381.4212125000004,40.40242016956961,0.5052427947976919,3.521325466234537,75.01486761188258,0.9223113421947169,0.9995842812890215,0.6298928497599283,0.8557764731938866,72082.83749825103,62092.203223417055,72344.03387216834,74826.67697016904,-0.022425273258881783
3393.2858483333334,41.79953781949338,0.08660396977055107,2.7829398361590907,75.3040599185969,0.8082907622947099,0.8905098751788467,0.5845816296160989,0.7748963284645684,74890.45040387362,74882.04103722962,74890.67394021506,74893.33050613415,-0.018548571599282453
3393.2858483333334,41.79953781949338,0.08660396977055107,2.7829398361590907,75.3040599185969,0.8082907622947099,0.8905098751788467,0.5845816296160989,0.7748963284645684,74890.45040387362,74882.04103722962,74890.67394021506,74893.33050613415,-0.018548571599282453
3405.150484166667,43.07490646913467,5.884799491939384,1.2947527702602168,75.5853539421629,0.377433989288259,0.43659715169781077,0.3033286900775057,0.3784177517675803,57915.79258834518,67211.54835909817,55260.82137433643,50847.56833020801,-0.010364932893907164
3417.0151200000005,43.33442280203233,24.700173038392766,-0.6515786672787923,75.86303648650392,0.0033774758811711035,0.002061192117281207,0.012466696960165434,0.02232822087311043,-6654.008358339096,-3453.822500818906,-16213.025966708456,-23708.985260946825,0.003393851928223386
3417.0151200000005,43.33442280203233,24.700173038392766,-0.6515786672787923,75.86303648650392,0.0033774758811711035,0.002061192117281207,0.012466696960165434,0.02232822087311043,-6654.008358339096,-3453.822500818906,-16213.025966708456,-23708.985260946825,0.003393851928223386
3428.8797558333335,41.80630649077693,43.67207314623199,-2.592944358222014,76.14469546648623,0.5278792561639283,0.5623626978950409,0.45999069397164755,0.5148910062586345,-69680.89963977181,-77234.36730184681,-80095.56923502639,-92799.47683732773,0.015656071767642825
3440.7443916666666,39.17178798369968,49.93984835255916,-3.9992092004225013,76.43939081724658,0.9982976102740049,0.9962430390276463,0.9981849670745075,0.9907012150561543,-84580.9902271538,-96425.89007255291,-81427.49214768306,-104441.32490048031,0.01935001552488532
3440.7443916666666,39.17178798369968,49.93984835255916,-3.9992092004225013,76.43939081724658,0.9982976102740049,0.9962430390276463,0.9981849670745075,0.9907012150561543,-84580.9902271538,-96425.89007255291,-81427.49214768306,-104441.32490048031,0.01935001552488532
3452.6090275,36.344936601369376,49.872026271501795,-4.51511041438808,76.75424497236581,0.9995585291501996,0.9986931964550471,0.9997843162703182,0.9996085488044766,-77898.96136067035,-89990.62082301515,-62015.22645882104,-91404.340499793,0.019966381405708916
