This is Ipopt version 3.13.2, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:    65320
Number of nonzeros in inequality constraint Jacobian.:   135541
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     2004
                     variables with only lower bounds:      200
                variables with lower and upper bounds:      300
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1394
Total number of inequality constraints...............:     2400
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:     1200
        inequality constraints with only upper bounds:     1200

  46  1.2163154e+02 7.62e-03 1.19e-01  -3.0 1.89e-01    -  1.00e+00 1.00e+00h  1
  47  1.2163199e+02 1.07e-03 1.50e-01  -3.0 2.06e-01    -  1.00e+00 1.00e+00h  1
  48  1.2163512e+02 3.14e-03 2.33e-01  -3.0 6.44e-02    -  1.00e+00 1.00e+00h  1
  49  1.2163508e+02 2.65e-03 7.47e-02  -3.0 6.04e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.2163724e+02 8.75e-05 3.12e-02  -3.0 9.58e-03    -  1.00e+00 1.00e+00h  1
  51  1.2163742e+02 6.99e-06 9.50e-03  -3.0 7.92e-03    -  1.00e+00 1.00e+00h  1
  52  1.2109326e+02 2.11e-02 2.62e-01  -4.5 3.77e-01    -  8.12e-01 6.22e-01f  1
  53  1.2089270e+02 2.52e-02 1.59e-01  -4.5 4.09e-01    -  6.64e-01 5.64e-01h  1
  54  1.2081244e+02 3.79e-02 1.33e-01  -4.5 3.16e-01    -  5.55e-01 4.73e-01h  1
  55  1.2077964e+02 4.00e-02 1.23e-01  -4.5 3.93e-01    -  5.78e-01 3.63e-01h  1
  56  1.2076744e+02 3.01e-02 1.20e-01  -4.5 3.22e-01    -  8.79e-01 2.30e-01h  1
  57  1.2075152e+02 1.65e-02 1.95e-01  -4.5 3.49e-01    -  8.44e-01 3.59e-01h  1
  58  1.2074057e+02 1.07e-02 2.41e-01  -4.5 2.70e-01    -  1.00e+00 4.32e-01h  1
  59  1.2073249e+02 1.32e-02 1.29e-01  -4.5 1.50e-01    -  7.12e-01 7.20e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.2073073e+02 2.72e-03 1.26e-01  -4.5 6.62e-02    -  8.87e-01 1.00e+00h  1
  61  1.2073133e+02 1.12e-03 7.91e-02  -4.5 4.41e-02    -  1.00e+00 1.00e+00h  1
  62  1.2073274e+02 2.67e-04 1.90e-02  -4.5 1.71e-02    -  1.00e+00 1.00e+00h  1
  63  1.2073237e+02 4.66e-04 1.72e-02  -4.5 2.97e-02    -  1.00e+00 1.00e+00h  1
  64  1.2073202e+02 4.21e-04 2.68e-02  -4.5 2.63e-01    -  1.00e+00 9.48e-02h  4
  65  1.2073184e+02 3.87e-04 2.88e-02  -4.5 2.93e-01    -  1.00e+00 5.67e-02h  5
  66  1.2073100e+02 4.26e-04 5.91e-02  -4.5 3.05e-01    -  1.00e+00 1.00e+00H  1
  67  1.2072702e+02 4.49e-03 1.73e-01  -4.5 1.55e-01    -  1.00e+00 1.00e+00h  1
  68  1.2072612e+02 8.41e-03 2.26e-01  -4.5 1.00e-01    -  1.00e+00 1.00e+00h  1
  69  1.2072676e+02 2.56e-03 2.11e-01  -4.5 6.45e-02    -  7.94e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.2072819e+02 5.61e-04 5.42e-02  -4.5 5.70e-02    -  1.00e+00 1.00e+00h  1
  71  1.2072917e+02 8.12e-04 6.68e-02  -4.5 3.92e-02    -  1.00e+00 1.00e+00h  1
  72  1.2072934e+02 2.78e-04 6.84e-03  -4.5 2.46e-02    -  1.00e+00 1.00e+00h  1
  73  1.2072963e+02 9.91e-06 4.04e-03  -4.5 3.92e-03    -  1.00e+00 1.00e+00h  1
  74  1.2072957e+02 7.93e-05 7.86e-03  -4.5 1.92e-02    -  1.00e+00 1.00e+00h  1
  75  1.2072953e+02 5.20e-06 2.00e-02  -4.5 6.54e-02    -  1.00e+00 1.00e+00H  1
  76  1.2072920e+02 3.81e-04 1.82e-02  -4.5 2.80e-02    -  1.00e+00 1.00e+00h  1
  77  1.2072929e+02 1.65e-04 1.20e-02  -4.5 2.08e-02    -  1.00e+00 1.00e+00h  1
  78  1.2072938e+02 2.08e-05 2.35e-02  -4.5 9.18e-03    -  1.00e+00 1.00e+00h  1
  79  1.2072937e+02 1.39e-05 8.77e-03  -4.5 8.63e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.2072933e+02 5.89e-05 3.24e-03  -4.5 1.33e-02    -  1.00e+00 1.00e+00h  1
  81  1.2072932e+02 1.17e-05 1.15e-02  -4.5 5.76e-03    -  1.00e+00 1.00e+00h  1
  82  1.2072932e+02 1.01e-05 1.72e-03  -4.5 6.40e-03    -  1.00e+00 1.00e+00h  1
  83  1.2072932e+02 9.68e-06 9.92e-04  -4.5 5.17e-03    -  1.00e+00 1.00e+00h  1
  84  1.2072929e+02 1.44e-04 1.17e-02  -4.5 1.72e-02    -  1.00e+00 1.00e+00h  1
  85  1.2072927e+02 4.81e-05 1.13e-02  -4.5 1.11e-02    -  1.00e+00 1.00e+00h  1
