s,V,gamma,n,t
0.0,51.51177104394383,50.0,3.6238022909505627,0.0
2.990824999999936,51.67496387435795,50.0,3.6103545145828466,0.05796991544409324
5.981649999999872,51.8360344111805,50.0,3.5971097134699113,0.11575819494039608
5.981649999999872,51.8360344111805,50.0,3.5971097134699113,0.11575819494039608
8.972474999999674,51.99499181196827,50.0,3.584067099626032,0.1733683383509651
11.96330000000001,52.151889578218736,50.0,3.5712230499329323,0.23080372796239612
11.96330000000001,52.151889578218736,50.0,3.5712230499329323,0.23080372796239612
14.954124999999946,52.30678591706724,50.0,3.558572974309541,0.28806766462413697
17.94494999999988,52.459714684334955,50.0,3.546112694602649,0.34516331647048365
17.94494999999988,52.459714684334955,50.0,3.546112694602649,0.34516331647048365
20.935775000000216,52.610706433436654,50.0,3.5338389522758136,0.4020937999466844
23.92660000000002,52.75980228364749,50.0,3.521749380684647,0.4588621196622281
23.92660000000002,52.75980228364749,50.0,3.521749380684647,0.4588621196622281
26.917424999999955,52.90704394312345,50.0,3.509841463570426,0.515471220243957
29.908249999999892,53.05246520069634,50.0,3.4981122702515,0.5719239373373985
29.908249999999892,53.05246520069634,50.0,3.4981122702515,0.5719239373373985
32.89907499999969,53.19609843818342,50.0,3.486558755482633,0.6282230574527398
35.88990000000003,53.33797817236496,50.0,3.475177821089367,0.6843712691528352
35.88990000000003,53.33797817236496,50.0,3.475177821089367,0.6843712691528352
38.88072499999996,53.478138661076215,50.0,3.4639663837644465,0.7403712122017205
41.8715499999999,53.6166110686212,50.0,3.452921517285379,0.7962254339010207
41.8715499999999,53.6166110686212,50.0,3.452921517285379,0.7962254339010207
44.86237500000024,53.753425761036354,50.0,3.4420404397463797,0.8519364378494734
47.85320000000004,53.888612960858836,50.0,3.4313205700706404,0.907506642597853
47.85320000000004,53.888612960858836,50.0,3.4313205700706404,0.907506642597853
50.844024999999974,54.02220245245282,50.0,3.4207593811616053,0.962938425327922
53.83484999999991,54.154222429824664,50.0,3.4103543817751514,1.0182340836380748
53.83484999999991,54.154222429824664,50.0,3.4103543817751514,1.0182340836380748
56.82567499999971,54.28470051926787,50.0,3.4001030570154387,1.0733958768987975
59.81650000000005,54.41366365372287,50.0,3.390002951217032,1.1284259905674625
59.81650000000005,54.41366365372287,50.0,3.390002951217032,1.1284259905674625
