s,V,gamma,n,t,c_fl,c_fr,c_rl,c_rr,powerFL,powerFR,powerRL,powerRR,delta
3403.55885,58.65028066176206,0.3451605743820812,-0.8861952745031269,78.20016601608309,0.11710459002818041,0.11695626826637136,0.0928363527257025,0.09284771152402396,74357.25762230779,74357.30314123063,74357.59411446554,74357.63731525492,-5.782021341314972e-05
3403.55885,58.65028066176206,0.3451605743820812,-0.8861952745031269,78.20016601608309,0.11710459002818041,0.11695626826637136,0.0928363527257025,0.09284771152402396,74357.25762230779,74357.30314123063,74357.59411446554,74357.63731525492,-5.782021341314972e-05
3406.5496749999998,58.77606631783145,0.35184829119820327,-0.9559994317078174,78.251119435957,0.1164544040184077,0.11630063659341942,0.092415517898647,0.09242795301866523,74340.45625297293,74340.50326147644,74340.80687299586,74340.85135796033,-5.8815506831252184e-05
3409.5405,58.90069276172501,0.3588809682018169,-1.0259138590108328,78.30196445870074,0.11581168765059868,0.11565315089179794,0.09199980836195272,0.09201330990683737,74322.85057996599,74322.89877158402,74323.21633035614,74323.26172289575,-5.9635938652494646e-05
3409.5405,58.90069276172501,0.3588809682018169,-1.0259138590108328,78.30196445870074,0.11581168765059868,0.11565315089179794,0.09199980836195272,0.09201330990683737,74322.85057996599,74322.89877158402,74323.21633035614,74323.26172289575,-5.9635938652494646e-05
3412.531325,59.02417379547186,0.36628558825217417,-1.0959380143368609,78.3527025385328,0.11517606118843356,0.11501341147312547,0.09158893972154608,0.09160349168659641,74304.37917321817,74304.42840611772,74304.76115215887,74304.80733176976,-6.029622918367996e-05
3415.52215,59.146522534082564,0.37408913420852735,-1.1660708763194596,78.40333509363445,0.11454715599564273,0.11438102100624377,0.09118263161558186,0.09119821301917082,74284.97859780252,74285.0288962023,74285.37799980608,74285.42510426862,-6.081109873161104e-05
3415.52215,59.146522534082564,0.37408913420852735,-1.1660708763194596,78.40333509363445,0.11454715599564273,0.11438102100624377,0.09118263161558186,0.09119821301917082,74284.97859780252,74285.0288962023,74285.37799980608,74285.42510426862,-6.081109873161104e-05
3418.5129749999996,59.26775173642827,0.3823246891055754,-1.2363112112493837,78.45386352484589,0.11392455702702392,0.11375553182371141,0.09078056613614857,0.09079714994199169,74264.5667672144,74264.61785968531,74264.98493937531,74265.03262767462,-6.118966886619873e-05
3421.5037999999995,59.387873423719775,0.3910253359780171,-1.3066574118545673,78.50428919955297,0.11330785750485152,0.11313650099967539,0.09038242844464368,0.0903999824488863,74243.05944753507,74243.11076460034,74243.49789059687,74243.54533901943,-6.144106115735394e-05
