s,V,gamma,n,t
0.0,52.143413813243505,3.582122787843219,0.7491173090032455,0.0
23.92660000000002,53.5606141742866,1.580983188221024,0.39117841564712824,0.45272529434544334
47.85320000000004,54.87867688115596,1.2970041790879638,0.16464234756479273,0.8939829525387817
47.85320000000004,54.87867688115596,1.2970041790879638,0.16464234756479273,0.8939829525387817
71.77980000000007,56.070803996048355,1.6647863089310722,0.030939046022192527,1.3252529482668698
95.70640000000007,57.16290117652272,1.6189301262373814,-0.04612871581960758,1.7478068913235687
95.70640000000007,57.16290117652272,1.6189301262373814,-0.04612871581960758,1.7478068913235687
119.6330000000001,58.18498393392033,1.4567018481239102,-0.08710825627842188,2.162639409065801
143.55960000000013,59.13793220251518,1.4753676917076766,-0.10431836253552865,2.5704818682003303
143.55960000000013,59.13793220251518,1.4753676917076766,-0.10431836253552865,2.5704818682003303
167.48620000000028,60.01943426781897,1.5484989855371498,-0.10718839504807655,2.972053355758604
191.4127999999999,60.839918942847135,1.5496670581608005,-0.10169265506006402,3.367965668879083
191.4127999999999,60.839918942847135,1.5496670581608005,-0.10169265506006402,3.367965668879083
215.33939999999993,61.61038857151928,1.5340849337656202,-0.09250776978587315,3.75874343619116
239.26599999999993,62.33305592457421,1.5569656365386022,-0.08077916017714416,4.144810971217713
239.26599999999993,62.33305592457421,1.5569656365386022,-0.08077916017714416,4.144810971217713
263.19259999999997,63.00902464155585,1.593913146049785,-0.06853057789859147,4.526574928417773
287.1192,63.64288497074335,1.6205314418692087,-0.05668059830178524,4.904388878028873
287.1192,63.64288497074335,1.6205314418692087,-0.05668059830178524,4.904388878028873
311.0458,64.2393288156141,1.648256662680398,-0.046507365293130834,5.278572352938142
334.9724,64.8003537053803,1.6885249471668786,-0.03851087252746513,5.649398182693311
334.9724,64.8003537053803,1.6885249471668786,-0.03851087252746513,5.649398182693311
358.89900000000006,65.32744131128987,1.7373729330821492,-0.03347337861526994,6.017125556473248
382.82560000000007,65.82251072870724,1.7908372581797056,-0.03174776117904136,6.381985994847304
382.82560000000007,65.82251072870724,1.7908372581797056,-0.03174776117904136,6.381985994847304
406.7521999999997,66.28755581499465,1.8519930691548023,-0.033387771149449,6.744197131058326
430.67879999999985,66.72445936828152,1.9239155127026957,-0.038135739804613995,7.103951453571472
430.67879999999985,66.72445936828152,1.9239155127026957,-0.038135739804613995,7.103951453571472
454.60539999999986,67.13453774732974,2.0087882898311973,-0.04588649120892302,7.461430158077897
478.53199999999987,67.51704213283958,2.1087951015481208,-0.055931704331202044,7.816804142488501
478.53199999999987,67.51704213283958,2.1087951015481208,-0.055931704331202044,7.816804142488501
502.4585999999999,67.87170820467324,2.2263141747231647,-0.06652906204141419,8.170244900719032
526.3851999999999,68.20201005285206,2.3637237362260315,-0.07595081753775207,8.521906105435907
526.3851999999999,68.20201005285206,2.3637237362260315,-0.07595081753775207,8.521906105435907
550.3118,68.50963092123062,2.5323795025689053,-0.08392900392691609,8.871923721806773
574.2384,68.78593414182298,2.743637190263971,-0.08821189228620333,9.220452276209132
574.2384,68.78593414182298,2.743637190263971,-0.08821189228620333,9.220452276209132
598.165,69.0249882668875,3.0062926271788784,-0.08202459831155462,9.567681090472465
622.0916,69.24084656720065,3.3291416411812746,-0.05895513594374828,9.913767396000251
622.0916,69.24084656720065,3.3291416411812746,-0.05895513594374828,9.913767396000251
646.0182,69.43745237942554,3.773403123753439,-0.019785958570401593,10.25880420113961
669.9448,69.56092068267678,4.400295966377652,0.04343929728706485,10.603046827025677
669.9448,69.56092068267678,4.400295966377652,0.04343929728706485,10.603046827025677
693.8714,69.57552494568715,5.316057225489853,0.15969130321724817,10.946973230454757
717.7980000000001,69.5712270317856,6.626923957525979,0.3555661084442054,11.290881866984368
717.7980000000001,69.5712270317856,6.626923957525979,0.3555661084442054,11.290881866984368
741.7246000000001,69.42736935302969,9.554836473565514,0.6230588316036728,11.634645716266686
765.6512000000001,68.03391683208253,15.321735084687946,0.9756715372433726,11.982311584109427
765.6512000000001,68.03391683208253,15.321735084687946,0.9756715372433726,11.982311584109427
789.5778000000001,64.38872753399457,23.88876248838562,1.5152044188431382,12.34292597725433
813.5044000000001,59.089990217802374,35.217061382150874,2.304492272713366,12.730276994982825
813.5044000000001,59.089990217802374,35.217061382150874,2.304492272713366,12.730276994982825
837.4310000000003,52.9989008778726,44.12587241350113,3.1912549931546037,13.156864393061381
861.3575999999999,45.94664858929623,45.434436229953874,3.9570583678727362,13.641356332694969
861.3575999999999,45.94664858929623,45.434436229953874,3.9570583678727362,13.641356332694969
885.2841999999999,37.57338995210221,45.0996466315807,4.766848104939657,14.214315229204379
909.2108,29.244756475745778,49.07839741845309,3.929722842554339,14.938312489946187
909.2108,29.244756475745778,49.07839741845309,3.929722842554339,14.938312489946187
933.1374,23.623215023805574,46.27563409833406,-0.19366990140141416,15.888021599945349
957.064,22.86842951852534,25.596302178986562,-3.991305412194833,16.9014521363116
957.064,22.86842951852534,25.596302178986562,-3.991305412194833,16.9014521363116
980.9905999999996,26.29922325945979,11.382822228269672,-3.346746529465746,17.791013398673254
1004.9171999999998,29.47388108970407,27.977614814042102,1.6317162398251015,18.62792414104963
1004.9171999999998,29.47388108970407,27.977614814042102,1.6317162398251015,18.62792414104963
1028.8437999999999,29.507774630522377,47.61086507394841,5.717593140567045,19.394303332828205
1052.7703999999999,29.21276227630062,42.51275814563283,3.9910511581053245,20.12472810406493
1052.7703999999999,29.21276227630062,42.51275814563283,3.9910511581053245,20.12472810406493
1076.697,31.814861481584167,24.834584935227415,-0.7477991523245444,20.899920619233484
1100.6236,35.93774024620474,6.727636348864243,-2.731776754265156,21.62201820077051
1100.6236,35.93774024620474,6.727636348864243,-2.731776754265156,21.62201820077051
1124.5502,39.330011469490586,1.9455071824410062,-1.8467019477644373,22.25672251935151
1148.4768,40.70920070471716,24.24179223185542,-1.8324234712573344,22.85159565625059
1148.4768,40.70920070471716,24.24179223185542,-1.8324234712573344,22.85159565625059
1172.4034,39.51974486879061,46.25163441699506,-3.27055588292623,23.437836906268814
1196.33,37.728588033041746,40.610176657747466,-3.9824007916886206,24.034801397824143
1196.33,37.728588033041746,40.610176657747466,-3.9824007916886206,24.034801397824143
