s,V,gamma,n,t,c_fl,c_fr,c_rl,c_rr,powerFL,powerFR,powerRL,powerRR,delta
1754.0651333333337,36.575849852133246,0.19592767127036365,3.6257616611505865,53.500879991296145,0.36098983676841695,0.379291390726718,0.2559927516658762,0.261795061905243,74926.7340766086,74903.21886202824,74808.75901018993,74923.35221696556,0.001040659457008856
1759.7601500000005,37.511134472131076,0.19741241057164857,3.602582050192066,53.65455853836993,0.34491314180252114,0.35919406020929706,0.24572863994344735,0.24896811707443245,74870.63986691408,74914.49069437712,74943.02523138499,74879.06688663695,0.002709954278448057
1765.4551666666669,38.39400298330782,0.20109586896748813,3.5929509887674747,53.80456756451901,0.324526862569668,0.33931041714361304,0.2369478123847941,0.24039234065157733,74878.70814561592,74899.12275343636,74913.22425361736,74883.99504035994,0.0017836746503686243
1765.4551666666669,38.39400298330782,0.20109586896748813,3.5929509887674747,53.80456756451901,0.324526862569668,0.33931041714361304,0.2369478123847941,0.24039234065157733,74878.70814561592,74899.12275343636,74913.22425361736,74883.99504035994,0.0017836746503686243
1771.1501833333334,39.230701813840746,0.20613205289017208,3.599483155426531,53.95127977273224,0.3061996819435542,0.3182124547499563,0.22171212495241166,0.22514144544850928,74902.92782147024,74879.43813692052,74841.76714569569,74900.46974713454,0.00038582541701838425
1776.8452000000002,40.02604922702679,0.21167496877199007,3.6158132019377907,54.09498645903793,0.293366844185208,0.3011875220734711,0.21134111081495763,0.2134627361573978,74882.71731423533,74872.05590108418,74855.2722129376,74879.28479560683,0.0006404114226451625
1776.8452000000002,40.02604922702679,0.21167496877199007,3.6158132019377907,54.09498645903793,0.293366844185208,0.3011875220734711,0.21134111081495763,0.2134627361573978,74882.71731423533,74872.05590108418,74855.2722129376,74879.28479560683,0.0006404114226451625
1782.540216666667,40.78423156668355,0.21849694560070612,3.638512366700459,54.23594818485127,0.28153390752827967,0.2877656314326531,0.2036508179178001,0.20495949078820552,74852.19399216003,74867.78446442857,74886.46945059032,74852.26557051588,0.0010715515525057367
1788.2352333333333,41.50864273042831,0.2273703123640845,3.669082148820079,54.374378386010626,0.2692063437217916,0.2746873032446044,0.19603303816220058,0.19727422568638922,74843.97003802753,74852.29233815627,74858.11309864181,74849.50041023525,0.0002033646918568835
1788.2352333333333,41.50864273042831,0.2273703123640845,3.669082148820079,54.374378386010626,0.2692063437217916,0.2746873032446044,0.19603303816220058,0.19727422568638922,74843.97003802753,74852.29233815627,74858.11309864181,74849.50041023525,0.0002033646918568835
1793.9302500000001,42.20233722843129,0.2376017208770797,3.705891700336533,54.51047137859593,0.25962041933947394,0.26269483652525416,0.18826617937843707,0.18914180257143529,74841.70835632698,74833.69468298134,74818.19787374782,74846.57719771515,-0.0004703501172879273
1799.625266666667,42.86781127323728,0.24849782295464526,3.745103787028029,54.644389332737205,0.25100058745475834,0.2521764199593328,0.18214443561190133,0.18241903553504937,74825.08347324448,74817.92065150471,74815.42136135994,74814.57433969127,0.000544206167084875
1799.625266666667,42.86781127323728,0.24849782295464526,3.745103787028029,54.644389332737205,0.25100058745475834,0.2521764199593328,0.18214443561190133,0.18241903553504937,74825.08347324448,74817.92065150471,74815.42136135994,74814.57433969127,0.000544206167084875
1805.3202833333335,43.50734185630397,0.2626469562075556,3.787806509688484,54.77628213267218,0.24222502044973004,0.24424877274771592,0.17665973549106345,0.17696633916011706,74799.48898512161,74801.52366688768,74814.26840191284,74785.47024174962,0.0009192363578261483
1811.0153000000003,44.122832823287304,0.28263745824658576,3.83509628510541,54.90627741039745,0.23522807847875069,0.23700111810520638,0.17074437393500952,0.17118794942597207,74768.9132451887,74779.04242069686,74775.18188594263,74791.4287731917,-0.0016730567322131252
1811.0153000000003,44.122832823287304,0.28263745824658576,3.83509628510541,54.90627741039745,0.23522807847875069,0.23700111810520638,0.17074437393500952,0.17118794942597207,74768.9132451887,74779.04242069686,74775.18188594263,74791.4287731917,-0.0016730567322131252
1816.710316666667,44.715896974462765,0.3041443687854764,3.8780516448698794,55.034491896336355,0.23476472153140984,0.23188736597544302,0.17056768204986275,0.17018259500999858,74744.21139368232,74751.2128888723,74734.90661516525,74775.26262337607,-0.0025457894685919215
1822.4053333333334,45.288081122458834,0.32284272753796817,3.909999401226406,55.16102697197562,0.22653064204082404,0.22203476871508798,0.16368336236172545,0.16258916826458833,74735.94240332731,74717.96574428322,74731.38684637319,74675.80814424514,0.0029879217831307835
1822.4053333333334,45.288081122458834,0.32284272753796817,3.909999401226406,55.16102697197562,0.22653064204082404,0.22203476871508798,0.16368336236172545,0.16258916826458833,74735.94240332731,74717.96574428322,74731.38684637319,74675.80814424514,0.0029879217831307835
